DROGA ;MARCA ;PRESENTACION;LABORATORIO;COBERTURA;COPAGO
aceite de pescado;OMACOR;caps.blandas x 28;Richmond;50%;$ 2483.68
aceite de salmón;REGULIP;1 g cáps.x 60;Adium;40%;$ 35508.35
aceite de salmón;REGULIP;1 g cáps.x 90;Adium;40%;$ 51696.46
acenocumarol;SINTROM;1 mg comp.x 20;Siegfried;80%;$ 745.37
acenocumarol;ACENOCOUMAROL ROSPAW;4 mg comp.x 20;Rospaw;80%;$ 2226.48
acenocumarol;FORTONOL;4 mg comp.x 20;Microsules Arg.;80%;$ 2415.71
acenocumarol;SINTROM;4 mg comp.x 20;Siegfried;80%;$ 2567.96
acenocumarol;AZECAR;4 mg comp.x 30;Bag¿;80%;$ 4199.38
acetazolamida;ACETA;250 mg comp.x 20;Novoplos;80%;$ 2581.41
acetazolamida;DIABO;250 mg comp.x 50;Max Vision;80%;$ 3606.78
acetilcarnitina;NEUREX;500 mg comp.x 40;Beta;50%;$ 28544.01
acetilcarnitina;NEUROACTIL;comp.x 30;Bag¿;50%;$ 18618.1
acetilcisteína;BRONCOLIUM 200;200 mg comp.eferv.x 12;Temis-Lostal¿;40%;$ 2054.17
acetilcisteína;DOSOMUK;600 mg comp.dispers.x 10;Beta;40%;$ 8469.71
acetilcisteína;QURA MUK;600 mg comp.dispers.x 10;Laboratorios Be;40%;$ 9003.44
acetilcisteína;DOSOMUK;600 mg comp.dispers.x 20;Beta;40%;$ 13821.64
acetilcisteína;QURA MUK;600 mg comp.dispers.x 20;Laboratorios Be;40%;$ 14839.51
acetilcisteína;ACC EXPECTORANTE;600 mg comp.eferv.x 10;Novartis-Sandoz;40%;$ 3263.77
acetilcisteína;ACETILCISTEINA TEVA;600 mg comp.eferv.x 10;Teva Argentina;40%;$ 7408.52
acetilcisteína;BRONCOLIUM;600 mg comp.eferv.x 12;Temis-Lostal¿;40%;$ 10310.06
acetilcisteína;ACC EXPECTORANTE;600 mg comp.eferv.x 20;Novartis-Sandoz;40%;$ 5309.28
acetilcisteína;BRONCOLIUM;600 mg comp.eferv.x 24;Temis-Lostal¿;40%;$ 17091.14
acetilcisteína;DENVERMUC 600;600 mg sob.x 10;Denver Farma;40%;$ 7540.81
acetilcisteína;TOFLUX;600 mg sob.x 10;Casasco;40%;$ 8511.34
acetilcisteína;TEMPOTANE;600 mg sob.x 20;Lazar;40%;$ 13802.34
acetilcisteína;TOFLUX;600 mg sob.x 20;Casasco;40%;$ 13824.76
acetilcisteína;ACEMUK;600 mg tab.eferv.x 10;Siegfried;40%;$ 8842.64
acetilcisteína;ACEMUK;600 mg tab.eferv.x 20;Siegfried;40%;$ 14371.26
acetilcisteína;ACEMUK;600 mg tab.eferv.x 5;Siegfried;40%;$ 6806.53
acetilcisteína;ACEMUK;600 mg tab.eferv.x 60;Siegfried;40%;$ 38080.43
acetilcisteína;ACEMUK;600 mg tab.eferv.x 90;Siegfried;40%;$ 17303.77
acetilcisteína+paracet.+asoc.;ACEMUK DIA Y NOCHE;comp.eferv.x 16;Siegfried;50%;$ 6887.24
acetilcisteína+tirotricina+asoc.;ACEMUK L;comp.x 20;Siegfried;50%;$ 5439.87
acetilsalicílico,ác.;NUEVAPINA CARDIO;100 mg comp.x 50;Savant Generic;60%;$ 2460.01
acetilsalicílico,ác.;ASPIRINA PREVENT;comp.cub.enterica x 20;Bayer (PH);60%;$ 1251.92
acetilsalicílico,ác.;ASPIRINA PREVENT 325;comp.cub.enterica x 30;Bayer (PH);60%;$ 299.78
acetilsalicílico,ác.;ASPIRINA PREVENT;comp.cub.enterica x 50;Bayer (PH);60%;$ 2733.34
acetilsalicílico,ác.;ASPIRINA PREVENT 325;comp.cub.enterica x 60;Bayer (PH);60%;$ 4523.66
acetilsalicílico,ác.+asoc.;TRINOMIA;100/40/10 mg cáps.x 28;Richmond;50%;$ 2992.96
acetilsalicílico,ác.+asoc.;TRINOMIA;100/40/5 mg cáps.x 28;Richmond;50%;$ 2556.37
acetilsalicílico,ác.+vit.c+vit.e;CARDIAX;comp.x 30;Roemmers;40%;$ 7640.4
aciclovir;XICLOVIR;200 mg comp.rec.x 30;Lazar;60%;$ 6512.06
aciclovir;LAFEVIR;200 mg comp.x 20;Lafedar;60%;$ 5402.56
aciclovir;LAFEVIR;200 mg comp.x 40;Lafedar;60%;$ 7136.66
aciclovir;XICLOVIR;400 mg comp. x 20;Lazar;60%;$ 5955.43
aciclovir;POVIRAL;400 mg comp.x 20;Roemmers;60%;$ 5898.4
